Priority Score,Department,Sub-Department,Category,Service Level,Resolution Time (mins)
5,Credit,International Transactions,Mobile Banking Issue,2,49
9,Forex,Retail Loans,Working Capital Loan,1,79
1,Forex,Trade Finance,SWIFT Transfer,3,86
7,Forex,Corporate Loans,Working Capital Loan,3,9
6,Credit,Transactions & Payments,Letter of Credit,2,3
9,Credit,KYC & Documentation,SWIFT Transfer,1,11
10,Credit,Trade Finance,Fixed Deposit,3,39
7,Forex,Foreign Investments & NRI Banking,Foreign Exchange Rates Inquiry,1,12
6,General Banking,Mortgage & Secured Loans,Letter of Credit,2,17
2,Credit,Retail Loans,Education Loan,1,17
1,Credit,Microfinance & Agricultural Loans,Home Loan,2,5
6,Forex,Mortgage & Secured Loans,Education Loan,2,3
9,Credit,Currency Exchange,Foreign Exchange Rates Inquiry,1,11
8,Forex,Mortgage & Secured Loans,Home Loan,2,16
1,Credit,International Transactions,Fixed Deposit,1,39
5,Forex,International Transactions,NRE/NRO Account Opening,1,45
3,General Banking,Retail Loans,NEFT/RTGS/IMPS Issue,2,31
8,Forex,Mortgage & Secured Loans,Fixed Deposit,1,3
5,Forex,Accounts & Deposits,Working Capital Loan,3,16
6,Forex,International Transactions,Net Banking Login Issue,1,26
8,Credit,Trade Finance,Car Loan,1,18
10,Forex,Transactions & Payments,SWIFT Transfer,1,62
10,General Banking,Foreign Investments & NRI Banking,SWIFT Transfer,1,47
5,Credit,KYC & Documentation,Debit Card Activation,1,7
8,Forex,Accounts & Deposits,Debit Card Activation,2,3
9,Forex,Credit Cards,Education Loan,3,6
7,Forex,Transactions & Payments,Fixed Deposit,1,68
10,Forex,Banking Tech & Digital Services,Debit Card Activation,2,23
3,Forex,Currency Exchange,Working Capital Loan,1,29
6,Forex,Transactions & Payments,Loan Against Property,3,44
8,Credit,Microfinance & Agricultural Loans,Education Loan,1,21
8,Forex,Credit Cards,Letter of Credit,3,17
9,General Banking,Foreign Investments & NRI Banking,Fixed Deposit,1,86
10,Credit,Foreign Investments & NRI Banking,Savings Account,2,24
7,Credit,Corporate Loans,Loan Against Property,2,78
4,Forex,Foreign Investments & NRI Banking,Mobile Banking Issue,1,5
5,Forex,Foreign Investments & NRI Banking,Letter of Credit,1,86
7,General Banking,International Transactions,Cash Currency Exchange,1,3
6,Credit,Currency Exchange,Debit Card Activation,2,22
1,Forex,Credit Cards,Cash Currency Exchange,2,86
9,Forex,Corporate Loans,Cash Currency Exchange,1,3
4,General Banking,Retail Loans,Debit Card Activation,2,44
8,General Banking,Microfinance & Agricultural Loans,Savings Account,1,48
5,General Banking,Foreign Investments & NRI Banking,Education Loan,2,20
5,Forex,Banking Tech & Digital Services,Letter of Credit,1,12
10,Forex,Credit Cards,Lost/Stolen Card,3,29
4,Credit,Trade Finance,Lost/Stolen Card,3,3
10,Forex,Corporate Loans,Working Capital Loan,1,22
1,Forex,Currency Exchange,Letter of Credit,1,15
7,Credit,Trade Finance,Debit Card Activation,3,20
4,Forex,International Transactions,Education Loan,1,8
6,Forex,Trade Finance,Education Loan,3,14
3,Forex,Transactions & Payments,Bank Guarantee,2,20
10,Forex,Foreign Investments & NRI Banking,Education Loan,1,65
1,Forex,Microfinance & Agricultural Loans,Education Loan,2,3
5,Forex,KYC & Documentation,Education Loan,1,36
9,Forex,Trade Finance,Letter of Credit,3,23
5,Credit,Banking Tech & Digital Services,Debit Card Activation,2,3
9,Forex,Credit Cards,Letter of Credit,1,3
10,Credit,Credit Cards,Working Capital Loan,1,10
6,Forex,Transactions & Payments,Repatriation of Funds,2,49
7,Credit,Credit Cards,Mobile Banking Issue,1,46
10,Credit,Corporate Loans,Cash Currency Exchange,1,7
3,Forex,Credit Cards,Home Loan,3,86
10,Credit,KYC & Documentation,Car Loan,1,86
10,Forex,Credit Cards,Car Loan,3,66
7,Credit,Transactions & Payments,Letter of Credit,3,14
4,Credit,Foreign Investments & NRI Banking,Debit Card Activation,2,67
4,Credit,Foreign Investments & NRI Banking,Repatriation of Funds,3,86
4,Credit,Transactions & Payments,Loan Against Property,2,60
10,Credit,Accounts & Deposits,Loan Against Property,3,30
1,Credit,Trade Finance,SWIFT Transfer,1,20
9,General Banking,Trade Finance,Letter of Credit,3,86
1,Forex,Retail Loans,Letter of Credit,3,86
10,Forex,Microfinance & Agricultural Loans,Debit Card Activation,1,3
8,Forex,Foreign Investments & NRI Banking,Education Loan,1,19
3,Forex,Credit Cards,Reward Points Inquiry,1,64
1,Forex,KYC & Documentation,Letter of Credit,1,3
8,General Banking,Transactions & Payments,SWIFT Transfer,2,14
6,Credit,Trade Finance,Debit Card Activation,1,22
8,Forex,International Transactions,Cash Currency Exchange,3,3
1,General Banking,Accounts & Deposits,Home Loan,1,24
1,Forex,Retail Loans,Credit Limit Increase,1,17
10,Credit,Microfinance & Agricultural Loans,Education Loan,3,86
2,Credit,Foreign Investments & NRI Banking,Reward Points Inquiry,2,86
5,General Banking,Mortgage & Secured Loans,Credit Limit Increase,3,86
4,Credit,Microfinance & Agricultural Loans,Working Capital Loan,3,26
1,Credit,KYC & Documentation,Letter of Credit,1,48
7,Credit,Transactions & Payments,Working Capital Loan,1,22
5,Forex,Retail Loans,Debit Card Activation,2,3
7,Forex,Retail Loans,Personal Loan,3,6
7,Credit,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,3,12
4,General Banking,KYC & Documentation,Education Loan,1,9
1,Forex,International Transactions,Fixed Deposit,1,69
7,Credit,Transactions & Payments,Letter of Credit,2,64
7,Forex,Credit Cards,Debit Card Activation,2,6
4,Forex,Retail Loans,Car Loan,1,6
6,Credit,International Transactions,Education Loan,3,57
2,Credit,KYC & Documentation,Home Loan,2,7
7,Forex,Banking Tech & Digital Services,Working Capital Loan,1,19
7,General Banking,International Transactions,Reward Points Inquiry,1,64
10,Credit,Credit Cards,Mobile Banking Issue,2,46
1,General Banking,Corporate Loans,Letter of Credit,3,74
6,General Banking,Currency Exchange,Education Loan,1,58
1,Credit,Microfinance & Agricultural Loans,Credit Limit Increase,2,23
6,Credit,Accounts & Deposits,Education Loan,3,3
1,Forex,International Transactions,Education Loan,3,26
4,General Banking,International Transactions,NRE/NRO Account Opening,2,31
6,General Banking,Banking Tech & Digital Services,Personal Loan,3,40
4,Forex,Credit Cards,Foreign Exchange Rates Inquiry,2,86
9,Forex,Banking Tech & Digital Services,Working Capital Loan,1,3
4,Forex,Transactions & Payments,Bank Guarantee,1,3
1,Forex,Foreign Investments & NRI Banking,Letter of Credit,3,86
10,Credit,Microfinance & Agricultural Loans,Education Loan,1,22
2,Credit,Retail Loans,Foreign Exchange Rates Inquiry,3,26
8,Forex,Credit Cards,Letter of Credit,3,3
7,Forex,Transactions & Payments,Cash Currency Exchange,2,11
1,General Banking,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,2,56
3,Credit,Microfinance & Agricultural Loans,Cash Currency Exchange,1,5
6,Credit,Retail Loans,Education Loan,2,20
6,Forex,Transactions & Payments,Home Loan,1,24
10,Credit,Banking Tech & Digital Services,Debit Card Activation,1,31
7,General Banking,Mortgage & Secured Loans,Debit Card Activation,2,67
10,General Banking,Foreign Investments & NRI Banking,Education Loan,3,63
1,Forex,Microfinance & Agricultural Loans,Lost/Stolen Card,1,86
4,General Banking,Corporate Loans,Debit Card Activation,2,3
5,General Banking,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,3,60
4,Forex,Microfinance & Agricultural Loans,Home Loan,3,31
10,Credit,Currency Exchange,Education Loan,2,54
10,Forex,KYC & Documentation,Debit Card Activation,1,30
8,Credit,Microfinance & Agricultural Loans,Reward Points Inquiry,2,7
10,Credit,Mortgage & Secured Loans,SWIFT Transfer,1,56
6,Forex,Microfinance & Agricultural Loans,Fixed Deposit,1,10
7,Credit,Retail Loans,Foreign Exchange Rates Inquiry,2,31
4,General Banking,Microfinance & Agricultural Loans,Car Loan,2,38
9,General Banking,International Transactions,Letter of Credit,3,38
8,Credit,Trade Finance,Cash Currency Exchange,1,3
4,Credit,Foreign Investments & NRI Banking,Net Banking Login Issue,2,3
6,Credit,Accounts & Deposits,Debit Card Activation,1,31
8,Forex,Transactions & Payments,Loan Against Property,1,49
2,Forex,Microfinance & Agricultural Loans,Education Loan,3,3
10,General Banking,Retail Loans,SWIFT Transfer,1,29
8,Forex,Microfinance & Agricultural Loans,Net Banking Login Issue,3,6
4,General Banking,Currency Exchange,Mobile Banking Issue,3,3
8,General Banking,International Transactions,Mobile Banking Issue,1,72
8,General Banking,Microfinance & Agricultural Loans,Reward Points Inquiry,2,26
9,Forex,Credit Cards,Letter of Credit,1,19
7,Credit,Trade Finance,Education Loan,1,54
5,Credit,Retail Loans,Foreign Exchange Rates Inquiry,2,86
6,Credit,Foreign Investments & NRI Banking,Loan Against Property,1,23
1,Credit,Trade Finance,Fixed Deposit,1,15
7,Credit,Currency Exchange,Fixed Deposit,2,15
3,Forex,International Transactions,Debit Card Activation,1,24
10,Forex,Transactions & Payments,Mobile Banking Issue,1,11
8,Forex,Foreign Investments & NRI Banking,Working Capital Loan,1,5
9,Credit,Trade Finance,Fixed Deposit,2,12
10,Credit,Foreign Investments & NRI Banking,Reward Points Inquiry,3,3
1,General Banking,Transactions & Payments,NRE/NRO Account Opening,3,86
6,General Banking,Banking Tech & Digital Services,Car Loan,1,24
6,Credit,Microfinance & Agricultural Loans,Reward Points Inquiry,1,13
1,Credit,Corporate Loans,Debit Card Activation,2,15
6,Credit,Trade Finance,Savings Account,3,63
3,Forex,KYC & Documentation,Personal Loan,2,15
1,Credit,Credit Cards,Debit Card Activation,3,35
9,Credit,Mortgage & Secured Loans,Debit Card Activation,1,86
8,Forex,Credit Cards,SWIFT Transfer,2,8
8,Forex,Retail Loans,Education Loan,2,14
1,Forex,Credit Cards,NRE/NRO Account Opening,1,3
8,Forex,Retail Loans,Education Loan,3,29
7,Credit,Banking Tech & Digital Services,Working Capital Loan,2,3
6,Credit,Microfinance & Agricultural Loans,Education Loan,3,3
1,Forex,Microfinance & Agricultural Loans,Fixed Deposit,3,3
7,Forex,Retail Loans,Debit Card Activation,1,86
10,Credit,Trade Finance,Home Loan,1,24
8,General Banking,Currency Exchange,Loan Against Property,2,50
8,Forex,KYC & Documentation,Credit Limit Increase,1,25
10,Credit,Mortgage & Secured Loans,Education Loan,1,28
8,Forex,Trade Finance,Letter of Credit,3,31
8,Credit,Microfinance & Agricultural Loans,Cash Currency Exchange,3,20
6,Forex,Accounts & Deposits,SWIFT Transfer,1,36
7,General Banking,Trade Finance,Debit Card Activation,3,64
6,Forex,Credit Cards,Mobile Banking Issue,3,58
4,Forex,Currency Exchange,Foreign Exchange Rates Inquiry,1,15
1,Forex,International Transactions,Letter of Credit,1,3
6,Forex,Transactions & Payments,Working Capital Loan,1,15
1,Credit,Transactions & Payments,NRE/NRO Account Opening,1,59
8,Forex,Trade Finance,Home Loan,2,12
1,Forex,Trade Finance,Fixed Deposit,1,61
1,Credit,Mortgage & Secured Loans,Repatriation of Funds,2,3
3,Credit,Credit Cards,Net Banking Login Issue,2,86
1,Credit,Accounts & Deposits,Cash Currency Exchange,1,11
4,Credit,Microfinance & Agricultural Loans,Car Loan,2,29
10,Forex,Retail Loans,Foreign Exchange Rates Inquiry,3,8
5,Credit,Credit Cards,Foreign Exchange Rates Inquiry,2,3
5,Forex,Trade Finance,NRE/NRO Account Opening,3,22
10,Forex,Foreign Investments & NRI Banking,Cash Currency Exchange,2,61
10,Credit,Microfinance & Agricultural Loans,SWIFT Transfer,1,29
7,General Banking,Trade Finance,Net Banking Login Issue,1,17
6,Credit,Credit Cards,Mobile Banking Issue,1,29
9,Forex,Microfinance & Agricultural Loans,Loan Against Property,1,42
5,Credit,Retail Loans,Cash Currency Exchange,2,31
5,Forex,Banking Tech & Digital Services,NEFT/RTGS/IMPS Issue,2,86
8,Credit,Credit Cards,Fixed Deposit,2,25
1,General Banking,Currency Exchange,SWIFT Transfer,1,3
2,Forex,International Transactions,Debit Card Activation,3,25
7,General Banking,Transactions & Payments,Mobile Banking Issue,3,67
10,Credit,Transactions & Payments,Personal Loan,2,3
9,Credit,Transactions & Payments,Mobile Banking Issue,3,45
10,Credit,KYC & Documentation,Repatriation of Funds,3,86
6,Forex,Retail Loans,Loan Against Property,1,86
8,General Banking,Foreign Investments & NRI Banking,Foreign Exchange Rates Inquiry,3,86
3,Forex,Banking Tech & Digital Services,NEFT/RTGS/IMPS Issue,1,31
7,Forex,Trade Finance,Education Loan,3,3
10,Credit,Foreign Investments & NRI Banking,Loan Against Property,1,20
2,Forex,Foreign Investments & NRI Banking,Letter of Credit,2,86
6,Credit,Retail Loans,Cash Currency Exchange,3,10
2,Credit,KYC & Documentation,Education Loan,2,20
4,Forex,International Transactions,NRE/NRO Account Opening,1,3
10,Forex,Credit Cards,Net Banking Login Issue,1,53
4,Forex,Mortgage & Secured Loans,Education Loan,1,46
10,General Banking,Retail Loans,Bank Guarantee,3,54
5,Credit,Foreign Investments & NRI Banking,SWIFT Transfer,2,29
6,Forex,Credit Cards,Fixed Deposit,2,13
8,Forex,Banking Tech & Digital Services,Net Banking Login Issue,2,86
5,Credit,Credit Cards,NRE/NRO Account Opening,2,3
7,Forex,Retail Loans,Mobile Banking Issue,3,19
5,Forex,Credit Cards,Reward Points Inquiry,2,3
7,Credit,Accounts & Deposits,Education Loan,2,7
1,Forex,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,1,15
1,Forex,Trade Finance,Mobile Banking Issue,1,86
8,Forex,Foreign Investments & NRI Banking,Mobile Banking Issue,3,22
9,Forex,Credit Cards,Cash Currency Exchange,1,12
5,Forex,Foreign Investments & NRI Banking,Cash Currency Exchange,2,13
4,General Banking,Banking Tech & Digital Services,Loan Against Property,1,50
1,Credit,Currency Exchange,Debit Card Activation,2,3
1,Credit,Transactions & Payments,Letter of Credit,1,29
4,Credit,Corporate Loans,Letter of Credit,2,48
10,Forex,International Transactions,Lost/Stolen Card,2,23
1,Forex,Banking Tech & Digital Services,Cash Currency Exchange,2,45
4,General Banking,Corporate Loans,Working Capital Loan,1,85
6,Forex,International Transactions,Fixed Deposit,2,86
10,Credit,Foreign Investments & NRI Banking,Education Loan,2,11
6,Credit,KYC & Documentation,Letter of Credit,1,3
3,Credit,Trade Finance,Reward Points Inquiry,3,25
6,Credit,Trade Finance,Mobile Banking Issue,3,7
9,General Banking,Microfinance & Agricultural Loans,Reward Points Inquiry,1,26
5,Forex,International Transactions,Letter of Credit,1,26
2,Forex,Corporate Loans,Fixed Deposit,1,27
1,Credit,Trade Finance,Car Loan,2,86
8,Forex,Transactions & Payments,SWIFT Transfer,3,15
10,Forex,Trade Finance,Fixed Deposit,2,20
9,Forex,Banking Tech & Digital Services,Cash Currency Exchange,1,30
10,Credit,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,1,3
7,Credit,Microfinance & Agricultural Loans,Car Loan,1,32
10,General Banking,Credit Cards,Home Loan,2,86
4,Forex,Retail Loans,Reward Points Inquiry,3,3
2,Credit,Currency Exchange,Education Loan,1,32
9,Credit,Corporate Loans,Foreign Exchange Rates Inquiry,2,3
7,General Banking,Corporate Loans,Foreign Exchange Rates Inquiry,3,59
1,Credit,Credit Cards,Loan Against Property,2,17
8,Forex,Trade Finance,Debit Card Activation,2,14
8,Credit,Corporate Loans,NRE/NRO Account Opening,3,24
8,Forex,Transactions & Payments,Personal Loan,3,26
8,General Banking,Trade Finance,Education Loan,3,12
7,General Banking,Microfinance & Agricultural Loans,NEFT/RTGS/IMPS Issue,3,14
4,General Banking,Currency Exchange,Education Loan,1,63
10,Forex,Banking Tech & Digital Services,Cash Currency Exchange,1,17
4,General Banking,Transactions & Payments,Letter of Credit,1,86
6,General Banking,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,1,65
3,Credit,Microfinance & Agricultural Loans,Education Loan,2,75
8,Forex,Trade Finance,Education Loan,1,29
7,General Banking,Microfinance & Agricultural Loans,NEFT/RTGS/IMPS Issue,1,23
4,Forex,Retail Loans,Foreign Exchange Rates Inquiry,3,86
8,Forex,Microfinance & Agricultural Loans,Home Loan,2,29
6,General Banking,Transactions & Payments,NRE/NRO Account Opening,2,74
10,Forex,Currency Exchange,Car Loan,1,22
7,Credit,Retail Loans,SWIFT Transfer,2,86
6,Forex,Foreign Investments & NRI Banking,Repatriation of Funds,1,14
6,Forex,KYC & Documentation,Foreign Exchange Rates Inquiry,1,25
9,General Banking,Trade Finance,Education Loan,1,61
10,Forex,Foreign Investments & NRI Banking,Foreign Exchange Rates Inquiry,1,3
6,Credit,International Transactions,NEFT/RTGS/IMPS Issue,1,21
8,General Banking,Accounts & Deposits,Car Loan,1,28
1,Forex,Corporate Loans,Cash Currency Exchange,2,3
10,Forex,Mortgage & Secured Loans,Home Loan,2,86
1,Forex,International Transactions,Personal Loan,2,86
3,Forex,Microfinance & Agricultural Loans,Fixed Deposit,1,43
3,Forex,Foreign Investments & NRI Banking,Education Loan,1,49
1,Forex,KYC & Documentation,Education Loan,1,3
3,Forex,Credit Cards,SWIFT Transfer,1,30
5,Forex,Transactions & Payments,Home Loan,1,13
4,Credit,Trade Finance,Letter of Credit,3,86
9,Forex,Banking Tech & Digital Services,Cash Currency Exchange,2,86
9,Credit,Microfinance & Agricultural Loans,Reward Points Inquiry,3,22
6,Credit,Retail Loans,Home Loan,1,3
4,General Banking,Credit Cards,Education Loan,3,16
10,Forex,KYC & Documentation,SWIFT Transfer,1,86
4,General Banking,Currency Exchange,Home Loan,2,13
5,Forex,Accounts & Deposits,Foreign Exchange Rates Inquiry,1,86
3,Forex,Corporate Loans,Car Loan,1,25
3,Credit,Accounts & Deposits,Car Loan,2,83
10,Credit,Corporate Loans,Letter of Credit,1,3
5,General Banking,International Transactions,Personal Loan,1,26
6,Credit,Banking Tech & Digital Services,Mobile Banking Issue,1,18
1,Forex,Retail Loans,Mobile Banking Issue,1,86
6,Forex,Accounts & Deposits,Fixed Deposit,2,25
10,Forex,Foreign Investments & NRI Banking,Mobile Banking Issue,2,9
3,Credit,Credit Cards,Net Banking Login Issue,3,26
1,Credit,International Transactions,Debit Card Activation,1,16
6,Forex,Microfinance & Agricultural Loans,Reward Points Inquiry,3,7
3,Forex,Trade Finance,Working Capital Loan,2,18
2,Credit,Credit Cards,Car Loan,1,4
1,Credit,Banking Tech & Digital Services,Education Loan,1,12
5,General Banking,Microfinance & Agricultural Loans,Mobile Banking Issue,3,49
6,Forex,Foreign Investments & NRI Banking,Education Loan,2,13
9,Credit,Currency Exchange,Reward Points Inquiry,1,29
1,General Banking,Trade Finance,Credit Limit Increase,3,3
7,Credit,Trade Finance,Home Loan,1,29
9,Credit,Currency Exchange,Education Loan,1,53
9,General Banking,Banking Tech & Digital Services,Savings Account,3,26
7,General Banking,Credit Cards,SWIFT Transfer,2,22
10,Forex,Credit Cards,Cash Currency Exchange,2,86
4,Credit,Credit Cards,SWIFT Transfer,1,29
10,Credit,KYC & Documentation,Mobile Banking Issue,3,10
5,Credit,Retail Loans,Cash Currency Exchange,2,8
7,Credit,Corporate Loans,Letter of Credit,1,21
6,General Banking,Banking Tech & Digital Services,Reward Points Inquiry,2,86
8,Forex,Foreign Investments & NRI Banking,Bank Guarantee,2,86
4,General Banking,Corporate Loans,Education Loan,3,49
8,Credit,Retail Loans,Foreign Exchange Rates Inquiry,1,62
4,Credit,Accounts & Deposits,Fixed Deposit,1,29
4,Forex,Credit Cards,Car Loan,3,10
1,Credit,Foreign Investments & NRI Banking,Education Loan,3,86
1,Forex,Accounts & Deposits,Letter of Credit,1,32
7,Credit,Credit Cards,Lost/Stolen Card,1,34
5,Credit,Transactions & Payments,Car Loan,1,23
6,Credit,Credit Cards,Loan Against Property,2,20
10,General Banking,Trade Finance,Reward Points Inquiry,3,9
1,General Banking,Microfinance & Agricultural Loans,NRE/NRO Account Opening,1,12
10,Forex,Credit Cards,Cash Currency Exchange,2,11
10,Forex,International Transactions,Personal Loan,2,23
8,Credit,Credit Cards,Working Capital Loan,1,15
1,Forex,International Transactions,Foreign Exchange Rates Inquiry,2,86
10,Credit,Retail Loans,Cash Currency Exchange,2,24
8,Forex,Accounts & Deposits,Working Capital Loan,3,85
10,Forex,Accounts & Deposits,Working Capital Loan,2,3
6,Credit,International Transactions,Debit Card Activation,2,31
1,Credit,Trade Finance,Home Loan,3,6
8,Forex,Credit Cards,Foreign Exchange Rates Inquiry,2,51
5,General Banking,Currency Exchange,Home Loan,1,7
3,General Banking,Microfinance & Agricultural Loans,Debit Card Activation,2,56
5,Forex,Banking Tech & Digital Services,Fixed Deposit,3,30
9,General Banking,Retail Loans,Cash Currency Exchange,1,60
10,Forex,International Transactions,Car Loan,1,22
8,Credit,Credit Cards,Letter of Credit,2,13
6,General Banking,Microfinance & Agricultural Loans,Mobile Banking Issue,3,13
8,Forex,Accounts & Deposits,Net Banking Login Issue,1,25
10,General Banking,Banking Tech & Digital Services,Loan Against Property,1,86
9,Credit,Foreign Investments & NRI Banking,Debit Card Activation,1,86
7,Credit,Transactions & Payments,Foreign Exchange Rates Inquiry,2,15
