Priority Score,Department,Sub-Department,Service Request,Service Request Level,Resolution Time (Minutes)
8,Forex,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,2,3.0
4,Credit,Retail Loans,Mobile Banking Issue,2,61.4
7,Forex,Mortgage & Secured Loans,Recurring Deposit,3,3.0
5,General Banking,Credit Cards,Loan Against Property,2,28.4
6,General Banking,Corporate Loans,NRE/NRO Account Opening,3,27.7
10,General Banking,Foreign Investments & NRI Banking,SWIFT Transfer,3,3.0
9,General Banking,Retail Loans,NRE/NRO Account Opening,1,6.5
10,Forex,Microfinance & Agricultural Loans,Debit Card Activation,2,12.2
10,Forex,International Transactions,NEFT/RTGS/IMPS Issue,1,43.6
10,Forex,Cards & Banking Services,Fixed Deposit,2,4.2
3,General Banking,Corporate Loans,NEFT/RTGS/IMPS Issue,2,56.7
6,General Banking,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,2,3.0
3,Forex,KYC & Documentation,Mobile Banking Issue,2,8.8
3,General Banking,Accounts & Deposits,Recurring Deposit,1,3.0
10,General Banking,Microfinance & Agricultural Loans,Education Loan,3,3.0
6,Forex,Transactions & Payments,Personal Loan,3,3.0
5,Forex,Retail Loans,Working Capital Loan,2,19.8
10,Credit,KYC & Documentation,Bank Guarantee,3,3.0
10,General Banking,Microfinance & Agricultural Loans,Letter of Credit,1,13.5
4,General Banking,Transactions & Payments,Credit Limit Increase,2,3.0
9,Credit,Currency Exchange,SWIFT Transfer,3,3.0
8,Credit,Retail Loans,Loan Against Property,3,3.0
10,Forex,Credit Cards,Savings Account,3,3.0
10,Forex,Foreign Investments & NRI Banking,Education Loan,2,31.5
9,General Banking,Credit Cards,Cash Currency Exchange,1,168.0
6,Credit,Accounts & Deposits,Savings Account,3,7.3
7,General Banking,Corporate Loans,Car Loan,2,13.6
8,General Banking,Credit Cards,Fixed Deposit,2,3.0
10,Credit,Currency Exchange,Cash Currency Exchange,1,44.1
9,Credit,Banking Tech & Digital Services,NRE/NRO Account Opening,1,16.4
9,Credit,Corporate Loans,Net Banking Login Issue,1,3.0
3,General Banking,Currency Exchange,Bank Guarantee,3,51.8
4,Credit,Currency Exchange,Cash Currency Exchange,2,3.0
10,Credit,Trade Finance,Current Account,3,3.0
8,Forex,International Transactions,Education Loan,1,3.0
10,General Banking,Corporate Loans,Debit Card Activation,3,44.7
5,Credit,KYC & Documentation,Letter of Credit,2,3.0
10,General Banking,KYC & Documentation,Mobile Banking Issue,1,46.8
8,Forex,Currency Exchange,Personal Loan,2,103.3
8,Credit,Banking Tech & Digital Services,Debit Card Activation,3,6.8
3,Forex,Banking Tech & Digital Services,Net Banking Login Issue,3,3.0
10,Credit,International Transactions,Personal Loan,1,40.4
10,Forex,Banking Tech & Digital Services,Loan Against Property,1,15.7
10,Forex,Banking Tech & Digital Services,Recurring Deposit,2,3.0
6,Forex,Credit Cards,Credit Limit Increase,2,16.3
10,Forex,KYC & Documentation,Reward Points Inquiry,2,25.1
5,Credit,Currency Exchange,Debit Card Activation,3,42.3
1,General Banking,Banking Tech & Digital Services,Lost/Stolen Card,1,3.0
10,Forex,Retail Loans,Savings Account,1,110.0
7,Credit,International Transactions,Lost/Stolen Card,2,31.9
7,General Banking,Trade Finance,Current Account,1,35.0
9,General Banking,Cards & Banking Services,Current Account,3,81.8
4,General Banking,Credit Cards,Net Banking Login Issue,1,3.0
9,Credit,Cards & Banking Services,Education Loan,2,13.0
6,General Banking,Foreign Investments & NRI Banking,Lost/Stolen Card,1,29.1
5,General Banking,Trade Finance,Letter of Credit,1,3.0
8,Forex,Cards & Banking Services,Loan Against Property,2,18.4
10,Forex,Trade Finance,Foreign Exchange Rates Inquiry,2,3.0
10,Credit,Corporate Loans,SWIFT Transfer,2,3.0
10,Forex,Banking Tech & Digital Services,NRE/NRO Account Opening,2,3.0
9,Forex,Retail Loans,Cash Currency Exchange,3,21.3
6,Forex,Banking Tech & Digital Services,Savings Account,2,37.1
10,Credit,Retail Loans,NEFT/RTGS/IMPS Issue,1,33.8
10,Forex,Currency Exchange,Recurring Deposit,3,3.0
3,Forex,Trade Finance,Mobile Banking Issue,1,26.9
6,General Banking,Transactions & Payments,Home Loan,1,27.7
10,Forex,Mortgage & Secured Loans,Home Loan,1,3.0
10,Forex,International Transactions,Home Loan,2,3.0
4,Forex,Foreign Investments & NRI Banking,Personal Loan,1,22.1
7,Credit,Cards & Banking Services,Savings Account,2,40.4
10,General Banking,Trade Finance,Fixed Deposit,1,28.3
10,Credit,Mortgage & Secured Loans,Repatriation of Funds,1,3.0
5,Credit,Cards & Banking Services,Credit Limit Increase,3,84.2
10,Forex,Retail Loans,Repatriation of Funds,2,24.0
9,General Banking,Credit Cards,Debit Card Activation,2,9.9
10,Credit,Microfinance & Agricultural Loans,Net Banking Login Issue,1,26.1
7,Forex,Foreign Investments & NRI Banking,Letter of Credit,2,29.5
3,General Banking,Trade Finance,Savings Account,2,4.7
7,Credit,Mortgage & Secured Loans,Current Account,2,54.8
9,Credit,International Transactions,Fixed Deposit,3,24.6
10,Credit,Foreign Investments & NRI Banking,Recurring Deposit,2,23.2
7,General Banking,Trade Finance,Letter of Credit,3,19.5
10,Forex,Corporate Loans,Bank Guarantee,3,5.1
5,General Banking,Trade Finance,Fixed Deposit,2,63.6
3,Credit,Credit Cards,Working Capital Loan,3,31.2
6,General Banking,International Transactions,Reward Points Inquiry,1,29.7
6,Credit,International Transactions,Loan Against Property,3,3.0
10,General Banking,Mortgage & Secured Loans,Current Account,1,31.8
4,Credit,KYC & Documentation,Foreign Exchange Rates Inquiry,1,3.0
5,General Banking,Retail Loans,Personal Loan,1,3.0
8,Credit,Banking Tech & Digital Services,Savings Account,2,3.0
10,Forex,Credit Cards,Home Loan,3,37.3
10,Credit,Accounts & Deposits,Working Capital Loan,2,32.8
10,Forex,Cards & Banking Services,Fixed Deposit,1,46.1
5,Forex,Cards & Banking Services,Recurring Deposit,3,3.0
10,General Banking,Cards & Banking Services,Lost/Stolen Card,2,9.5
10,General Banking,Cards & Banking Services,Cash Currency Exchange,3,3.0
7,General Banking,Accounts & Deposits,Bank Guarantee,1,35.3
9,Credit,Credit Cards,NRE/NRO Account Opening,3,3.0
9,Credit,Cards & Banking Services,Reward Points Inquiry,3,32.0
8,Credit,KYC & Documentation,Loan Against Property,1,34.8
10,General Banking,International Transactions,Foreign Exchange Rates Inquiry,3,6.6
4,General Banking,Trade Finance,Mobile Banking Issue,2,3.0
3,Forex,International Transactions,Foreign Exchange Rates Inquiry,2,3.0
3,Forex,KYC & Documentation,Mobile Banking Issue,2,5.0
6,Forex,Mortgage & Secured Loans,SWIFT Transfer,2,39.0
10,Credit,Corporate Loans,Education Loan,3,3.0
10,Credit,Banking Tech & Digital Services,Car Loan,3,3.0
6,Credit,Retail Loans,Home Loan,1,4.7
10,General Banking,Retail Loans,Fixed Deposit,1,29.1
10,Credit,Transactions & Payments,Cash Currency Exchange,3,3.0
7,General Banking,Cards & Banking Services,Credit Limit Increase,3,3.0
2,General Banking,Mortgage & Secured Loans,Car Loan,2,30.8
7,General Banking,International Transactions,Personal Loan,2,11.6
8,General Banking,Corporate Loans,Education Loan,2,38.9
10,Forex,KYC & Documentation,Current Account,2,3.0
10,General Banking,Transactions & Payments,Debit Card Activation,1,23.9
10,General Banking,International Transactions,Cash Currency Exchange,1,26.3
10,Credit,Transactions & Payments,Education Loan,3,9.3
7,General Banking,Corporate Loans,SWIFT Transfer,1,3.0
9,Credit,Currency Exchange,Education Loan,2,3.0
10,Credit,Cards & Banking Services,Home Loan,1,8.7
9,Forex,Retail Loans,Current Account,2,3.0
10,Credit,Retail Loans,Education Loan,1,22.8
5,Credit,KYC & Documentation,Mobile Banking Issue,3,3.0
6,Credit,Corporate Loans,Savings Account,2,39.7
5,Credit,Cards & Banking Services,Car Loan,3,3.0
4,Forex,International Transactions,Personal Loan,1,3.0
10,General Banking,Retail Loans,Debit Card Activation,1,67.6
9,General Banking,Trade Finance,Debit Card Activation,2,77.3
6,Credit,Accounts & Deposits,Net Banking Login Issue,2,3.0
6,Forex,Transactions & Payments,Credit Limit Increase,2,3.0
5,Forex,Transactions & Payments,Personal Loan,2,3.0
10,General Banking,Cards & Banking Services,Car Loan,2,37.3
10,Forex,International Transactions,Reward Points Inquiry,3,21.3
10,Credit,Cards & Banking Services,NEFT/RTGS/IMPS Issue,1,3.0
8,Credit,International Transactions,Cash Currency Exchange,2,3.0
8,Credit,Transactions & Payments,NRE/NRO Account Opening,2,34.6
10,General Banking,Mortgage & Secured Loans,Working Capital Loan,1,3.0
5,Credit,Corporate Loans,Mobile Banking Issue,1,32.6
10,Credit,Microfinance & Agricultural Loans,Current Account,1,53.7
1,Forex,Corporate Loans,Letter of Credit,2,3.0
8,Forex,KYC & Documentation,Savings Account,1,45.6
10,Credit,Transactions & Payments,Working Capital Loan,3,3.0
5,Forex,Currency Exchange,Credit Limit Increase,3,6.4
10,General Banking,Cards & Banking Services,Credit Limit Increase,1,15.1
10,Forex,International Transactions,Current Account,1,52.8
4,General Banking,International Transactions,SWIFT Transfer,2,8.4
10,General Banking,Retail Loans,Loan Against Property,3,3.0
10,Credit,Credit Cards,Home Loan,3,51.2
6,Forex,Mortgage & Secured Loans,Repatriation of Funds,2,3.0
10,Credit,Retail Loans,Fixed Deposit,3,3.0
3,Credit,Accounts & Deposits,Cash Currency Exchange,2,3.0
8,General Banking,International Transactions,Debit Card Activation,2,4.4
7,Credit,International Transactions,Lost/Stolen Card,2,3.0
8,Credit,Credit Cards,Lost/Stolen Card,1,3.0
6,General Banking,Mortgage & Secured Loans,Working Capital Loan,1,36.8
9,Forex,Currency Exchange,Home Loan,2,3.0
8,General Banking,Microfinance & Agricultural Loans,Net Banking Login Issue,1,53.8
10,Credit,Microfinance & Agricultural Loans,NRE/NRO Account Opening,1,3.0
10,Credit,Microfinance & Agricultural Loans,Letter of Credit,3,26.4
1,Forex,Microfinance & Agricultural Loans,Letter of Credit,1,3.0
10,Forex,Cards & Banking Services,SWIFT Transfer,1,53.1
1,Forex,Banking Tech & Digital Services,Net Banking Login Issue,2,3.0
10,Credit,International Transactions,Lost/Stolen Card,2,3.0
10,General Banking,Mortgage & Secured Loans,Reward Points Inquiry,2,33.9
6,Forex,International Transactions,NRE/NRO Account Opening,1,37.3
10,Forex,Transactions & Payments,Mobile Banking Issue,3,22.6
10,General Banking,Microfinance & Agricultural Loans,Loan Against Property,3,25.9
10,Forex,Trade Finance,NRE/NRO Account Opening,1,10.2
10,General Banking,Microfinance & Agricultural Loans,Car Loan,1,3.0
10,Forex,Corporate Loans,Bank Guarantee,3,33.1
7,General Banking,Banking Tech & Digital Services,SWIFT Transfer,2,100.7
6,General Banking,Credit Cards,Car Loan,2,13.5
5,General Banking,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,1,5.8
10,General Banking,Currency Exchange,Home Loan,3,8.6
7,Credit,Currency Exchange,Letter of Credit,2,3.0
7,Credit,Corporate Loans,Letter of Credit,1,3.0
10,Forex,Cards & Banking Services,Car Loan,3,17.2
7,Forex,Retail Loans,SWIFT Transfer,2,25.6
6,General Banking,Currency Exchange,Mobile Banking Issue,3,31.6
10,Credit,Accounts & Deposits,NRE/NRO Account Opening,3,12.4
10,Credit,Cards & Banking Services,Fixed Deposit,2,44.6
10,Forex,Mortgage & Secured Loans,Net Banking Login Issue,3,3.0
5,General Banking,Accounts & Deposits,Car Loan,2,3.0
10,General Banking,Banking Tech & Digital Services,Debit Card Activation,1,97.9
10,Forex,Credit Cards,Letter of Credit,1,130.6
4,General Banking,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,1,35.8
1,General Banking,Accounts & Deposits,Cash Currency Exchange,2,3.0
7,General Banking,Microfinance & Agricultural Loans,Bank Guarantee,1,45.0
6,Forex,Cards & Banking Services,Working Capital Loan,3,10.1
6,Forex,Banking Tech & Digital Services,Reward Points Inquiry,2,20.3
5,General Banking,Mortgage & Secured Loans,Loan Against Property,2,3.0
9,General Banking,Microfinance & Agricultural Loans,Net Banking Login Issue,2,39.1
8,Credit,Foreign Investments & NRI Banking,Home Loan,3,3.0
8,Forex,Currency Exchange,Letter of Credit,1,62.5
7,Forex,Corporate Loans,Debit Card Activation,2,26.4
10,Credit,Banking Tech & Digital Services,Fixed Deposit,2,15.4
3,General Banking,Credit Cards,Cash Currency Exchange,1,143.7
7,General Banking,Mortgage & Secured Loans,Car Loan,1,12.3
10,General Banking,Credit Cards,Net Banking Login Issue,2,3.0
8,Forex,Corporate Loans,Current Account,1,30.8
3,Forex,Microfinance & Agricultural Loans,Letter of Credit,1,88.0
10,Forex,Corporate Loans,Bank Guarantee,2,60.5
6,Forex,Cards & Banking Services,Letter of Credit,1,3.0
10,General Banking,Microfinance & Agricultural Loans,Car Loan,3,7.6
9,Forex,Microfinance & Agricultural Loans,NEFT/RTGS/IMPS Issue,1,8.3
5,General Banking,Trade Finance,Car Loan,2,26.7
4,Credit,Corporate Loans,Reward Points Inquiry,3,3.0
9,General Banking,Trade Finance,Personal Loan,2,3.0
3,Credit,Trade Finance,Debit Card Activation,2,68.5
10,Credit,Currency Exchange,Cash Currency Exchange,1,47.9
10,Credit,International Transactions,Fixed Deposit,2,14.2
4,Forex,Banking Tech & Digital Services,SWIFT Transfer,1,5.2
10,General Banking,Currency Exchange,Current Account,1,46.1
7,Credit,KYC & Documentation,Net Banking Login Issue,1,44.5
2,Forex,Accounts & Deposits,NEFT/RTGS/IMPS Issue,2,31.6
3,Forex,Foreign Investments & NRI Banking,Working Capital Loan,3,37.5
5,General Banking,Mortgage & Secured Loans,Home Loan,2,3.0
7,Forex,Foreign Investments & NRI Banking,Working Capital Loan,2,24.8
10,Forex,Currency Exchange,Foreign Exchange Rates Inquiry,1,8.9
10,General Banking,Currency Exchange,Foreign Exchange Rates Inquiry,1,3.0
10,Credit,Accounts & Deposits,Reward Points Inquiry,3,21.4
3,General Banking,Retail Loans,Recurring Deposit,3,10.2
8,Forex,Accounts & Deposits,SWIFT Transfer,2,3.0
10,General Banking,Foreign Investments & NRI Banking,Debit Card Activation,2,3.0
10,General Banking,Mortgage & Secured Loans,Letter of Credit,1,3.0
8,General Banking,Transactions & Payments,Mobile Banking Issue,2,3.0
8,Forex,Retail Loans,Debit Card Activation,2,23.2
5,Credit,International Transactions,NEFT/RTGS/IMPS Issue,1,3.0
10,Forex,KYC & Documentation,Net Banking Login Issue,2,7.5
7,Forex,Microfinance & Agricultural Loans,Home Loan,3,41.4
2,Forex,Currency Exchange,Home Loan,3,3.0
9,Forex,Corporate Loans,NRE/NRO Account Opening,3,3.0
10,General Banking,Mortgage & Secured Loans,Home Loan,3,3.0
9,Credit,Microfinance & Agricultural Loans,Personal Loan,2,22.7
4,Credit,Retail Loans,Loan Against Property,2,3.0
10,Credit,Credit Cards,SWIFT Transfer,1,11.1
9,Credit,Transactions & Payments,Recurring Deposit,2,3.0
8,General Banking,Corporate Loans,SWIFT Transfer,2,8.2
8,General Banking,Microfinance & Agricultural Loans,Savings Account,2,5.7
10,General Banking,KYC & Documentation,Fixed Deposit,1,20.8
7,Forex,KYC & Documentation,Fixed Deposit,1,34.3
7,Forex,International Transactions,Fixed Deposit,3,3.0
10,Forex,International Transactions,Car Loan,2,3.0
10,Credit,Currency Exchange,NRE/NRO Account Opening,2,3.0
10,Forex,Microfinance & Agricultural Loans,Savings Account,3,3.0
10,Credit,Trade Finance,Reward Points Inquiry,1,14.9
9,Forex,Transactions & Payments,NRE/NRO Account Opening,1,53.2
4,Forex,Corporate Loans,Recurring Deposit,2,3.0
9,Credit,Banking Tech & Digital Services,Cash Currency Exchange,3,55.7
9,General Banking,Transactions & Payments,Debit Card Activation,1,3.0
7,Credit,Accounts & Deposits,Lost/Stolen Card,2,24.1
8,Forex,Cards & Banking Services,NRE/NRO Account Opening,1,3.0
8,Forex,Mortgage & Secured Loans,Savings Account,2,3.0
10,Credit,Currency Exchange,Debit Card Activation,1,3.0
8,General Banking,KYC & Documentation,Home Loan,3,3.0
2,Credit,Accounts & Deposits,Fixed Deposit,3,3.0
10,Forex,Cards & Banking Services,Fixed Deposit,2,19.8
8,General Banking,Mortgage & Secured Loans,Net Banking Login Issue,1,3.0
10,Forex,International Transactions,Debit Card Activation,1,3.0
7,Credit,Cards & Banking Services,Recurring Deposit,2,152.2
10,Credit,Credit Cards,Recurring Deposit,2,3.0
10,Forex,Corporate Loans,Net Banking Login Issue,1,165.4
3,Forex,Transactions & Payments,Foreign Exchange Rates Inquiry,2,3.0
7,General Banking,Banking Tech & Digital Services,Credit Limit Increase,2,3.0
7,Forex,Retail Loans,Savings Account,2,27.8
4,General Banking,KYC & Documentation,NRE/NRO Account Opening,3,3.0
10,Forex,International Transactions,Savings Account,3,3.0
10,General Banking,Credit Cards,Current Account,3,37.8
10,Credit,Retail Loans,Credit Limit Increase,3,43.0
8,Forex,Accounts & Deposits,Education Loan,1,21.7
10,General Banking,International Transactions,Current Account,2,3.0
7,Credit,KYC & Documentation,Reward Points Inquiry,3,53.6
7,Credit,Banking Tech & Digital Services,Cash Currency Exchange,3,7.1
8,Credit,Transactions & Payments,Education Loan,2,76.7
10,Forex,Credit Cards,NRE/NRO Account Opening,1,36.7
7,Credit,Retail Loans,Personal Loan,2,3.0
9,General Banking,KYC & Documentation,Mobile Banking Issue,1,42.9
9,General Banking,Accounts & Deposits,Credit Limit Increase,1,33.1
10,Forex,International Transactions,Net Banking Login Issue,3,3.0
10,General Banking,Currency Exchange,Lost/Stolen Card,3,17.3
9,General Banking,Retail Loans,Personal Loan,3,8.2
7,Credit,Accounts & Deposits,Home Loan,2,3.0
8,Credit,Banking Tech & Digital Services,Savings Account,3,30.3
10,Forex,Banking Tech & Digital Services,Education Loan,1,11.2
10,Credit,Transactions & Payments,Credit Limit Increase,2,3.0
10,Forex,Accounts & Deposits,Fixed Deposit,2,13.4
9,Forex,Microfinance & Agricultural Loans,NRE/NRO Account Opening,3,8.9
10,General Banking,Corporate Loans,Fixed Deposit,3,3.0
1,Forex,Banking Tech & Digital Services,Home Loan,2,3.0
5,Credit,Corporate Loans,Recurring Deposit,2,14.2
5,General Banking,Banking Tech & Digital Services,Letter of Credit,3,3.0
4,Credit,Currency Exchange,Reward Points Inquiry,1,3.0
7,General Banking,International Transactions,Lost/Stolen Card,1,3.0
8,Credit,Transactions & Payments,NRE/NRO Account Opening,1,3.0
10,Credit,Credit Cards,Reward Points Inquiry,2,112.4
10,Credit,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,3,74.9
10,Credit,Microfinance & Agricultural Loans,SWIFT Transfer,3,46.8
10,General Banking,Credit Cards,Fixed Deposit,3,3.0
9,General Banking,Accounts & Deposits,Education Loan,2,50.8
10,General Banking,International Transactions,Savings Account,2,8.8
9,General Banking,Currency Exchange,Education Loan,1,3.0
10,Forex,Transactions & Payments,Loan Against Property,3,3.0
7,Forex,KYC & Documentation,Debit Card Activation,2,29.2
10,General Banking,Accounts & Deposits,Personal Loan,1,3.0
1,General Banking,Transactions & Payments,Recurring Deposit,2,3.0
9,Credit,Microfinance & Agricultural Loans,Lost/Stolen Card,3,3.0
10,Forex,Foreign Investments & NRI Banking,Bank Guarantee,1,21.0
4,Credit,Mortgage & Secured Loans,Recurring Deposit,1,34.3
8,Forex,Mortgage & Secured Loans,Savings Account,2,3.0
4,Forex,Trade Finance,Personal Loan,3,36.1
9,Credit,Credit Cards,Car Loan,2,3.0
9,Credit,Accounts & Deposits,Home Loan,2,3.0
9,Credit,Retail Loans,Repatriation of Funds,1,3.0
7,Credit,Banking Tech & Digital Services,Debit Card Activation,3,3.0
9,Credit,Corporate Loans,Current Account,2,4.1
9,General Banking,Retail Loans,NEFT/RTGS/IMPS Issue,3,54.5
9,Credit,Banking Tech & Digital Services,Current Account,1,28.2
8,Forex,Credit Cards,Car Loan,2,3.0
3,General Banking,Cards & Banking Services,Education Loan,1,57.4
10,Credit,Banking Tech & Digital Services,Personal Loan,3,43.7
10,Forex,Microfinance & Agricultural Loans,Letter of Credit,1,56.4
8,General Banking,International Transactions,Reward Points Inquiry,3,43.0
8,General Banking,Transactions & Payments,Credit Limit Increase,2,3.0
8,Credit,International Transactions,Debit Card Activation,3,15.2
8,General Banking,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,1,37.7
7,General Banking,Banking Tech & Digital Services,Savings Account,2,26.6
6,Credit,Credit Cards,Net Banking Login Issue,1,52.3
10,Forex,Cards & Banking Services,Fixed Deposit,2,16.8
9,Forex,Microfinance & Agricultural Loans,Personal Loan,3,46.3
10,Credit,Currency Exchange,Credit Limit Increase,1,3.0
7,General Banking,Retail Loans,Car Loan,3,3.7
5,Credit,Corporate Loans,Current Account,2,24.8
10,General Banking,Trade Finance,Fixed Deposit,3,21.0
3,Forex,International Transactions,Recurring Deposit,2,5.9
10,Forex,Microfinance & Agricultural Loans,Cash Currency Exchange,3,45.9
4,Forex,Cards & Banking Services,Current Account,2,3.0
10,Credit,Banking Tech & Digital Services,Cash Currency Exchange,3,3.0
10,Forex,Banking Tech & Digital Services,Savings Account,3,3.0
7,Forex,Mortgage & Secured Loans,Reward Points Inquiry,3,3.0
3,Forex,Microfinance & Agricultural Loans,SWIFT Transfer,3,3.0
7,Credit,Retail Loans,Car Loan,3,26.9
10,General Banking,Transactions & Payments,Loan Against Property,2,17.9
10,Credit,Foreign Investments & NRI Banking,NEFT/RTGS/IMPS Issue,3,3.0
10,General Banking,Credit Cards,Credit Limit Increase,2,26.2
10,Forex,Currency Exchange,SWIFT Transfer,3,16.9
10,Credit,Banking Tech & Digital Services,Personal Loan,3,3.0
2,Forex,Mortgage & Secured Loans,Car Loan,2,12.6
10,General Banking,Currency Exchange,SWIFT Transfer,2,51.4
7,Forex,Trade Finance,Car Loan,3,3.0
10,Credit,Cards & Banking Services,Fixed Deposit,2,3.0
3,Credit,Cards & Banking Services,Current Account,3,3.0
8,Forex,Mortgage & Secured Loans,Credit Limit Increase,1,3.0
10,Forex,Microfinance & Agricultural Loans,Recurring Deposit,3,29.8
8,Forex,Transactions & Payments,Debit Card Activation,2,25.9
10,General Banking,Credit Cards,Letter of Credit,1,19.6
10,General Banking,Accounts & Deposits,Mobile Banking Issue,2,49.3
8,Forex,Microfinance & Agricultural Loans,NRE/NRO Account Opening,2,37.4
10,Forex,Cards & Banking Services,Bank Guarantee,3,38.1
10,General Banking,Banking Tech & Digital Services,Savings Account,1,53.1
3,Forex,Retail Loans,Car Loan,2,37.3
10,Credit,Foreign Investments & NRI Banking,Letter of Credit,2,51.3
9,Credit,Trade Finance,Current Account,1,26.3
10,General Banking,International Transactions,Lost/Stolen Card,3,16.2
5,General Banking,Transactions & Payments,Current Account,2,15.8
8,Credit,Banking Tech & Digital Services,Bank Guarantee,2,22.9
7,Credit,Accounts & Deposits,Car Loan,3,34.8
10,General Banking,Currency Exchange,Repatriation of Funds,2,3.0
10,Forex,Credit Cards,Working Capital Loan,1,43.8
10,General Banking,Banking Tech & Digital Services,Recurring Deposit,3,3.0
1,General Banking,Foreign Investments & NRI Banking,Current Account,2,39.0
7,Forex,Mortgage & Secured Loans,Education Loan,2,96.2
5,General Banking,Credit Cards,Cash Currency Exchange,2,50.6
9,General Banking,Accounts & Deposits,Savings Account,3,100.3
10,General Banking,Credit Cards,Personal Loan,2,3.0
10,Forex,Credit Cards,Fixed Deposit,3,3.0
7,Forex,KYC & Documentation,Recurring Deposit,1,6.2
10,Forex,Accounts & Deposits,Savings Account,3,3.0
10,General Banking,Retail Loans,Bank Guarantee,2,3.0
9,General Banking,Microfinance & Agricultural Loans,Reward Points Inquiry,1,56.1
6,Credit,Retail Loans,Bank Guarantee,3,17.1
4,Credit,Banking Tech & Digital Services,Lost/Stolen Card,1,3.0
2,Credit,Retail Loans,Lost/Stolen Card,2,3.0
10,Forex,Cards & Banking Services,Foreign Exchange Rates Inquiry,2,3.0
10,Forex,Banking Tech & Digital Services,Loan Against Property,3,3.0
6,Forex,KYC & Documentation,Car Loan,2,65.9
10,Credit,Retail Loans,Education Loan,3,13.5
6,Credit,Mortgage & Secured Loans,Mobile Banking Issue,1,3.0
3,Credit,Currency Exchange,Personal Loan,1,20.9
10,General Banking,Microfinance & Agricultural Loans,NEFT/RTGS/IMPS Issue,2,3.0
10,Forex,Currency Exchange,Loan Against Property,3,9.5
7,General Banking,Cards & Banking Services,Car Loan,3,119.1
6,General Banking,Trade Finance,NEFT/RTGS/IMPS Issue,2,8.4
9,Credit,Banking Tech & Digital Services,Current Account,1,71.0
10,Credit,Retail Loans,Cash Currency Exchange,3,3.0
6,Credit,Cards & Banking Services,Cash Currency Exchange,1,3.0
10,Credit,Trade Finance,Mobile Banking Issue,1,49.2
10,Forex,Retail Loans,Reward Points Inquiry,1,64.0
10,General Banking,Corporate Loans,Home Loan,2,13.3
7,Credit,Banking Tech & Digital Services,SWIFT Transfer,1,10.5
10,Credit,Foreign Investments & NRI Banking,Bank Guarantee,2,31.1
10,Credit,Trade Finance,Current Account,2,31.0
7,Credit,Transactions & Payments,Working Capital Loan,2,3.0
8,Forex,Banking Tech & Digital Services,Savings Account,2,3.0
9,General Banking,Foreign Investments & NRI Banking,Reward Points Inquiry,3,53.6
10,Forex,KYC & Documentation,Home Loan,2,3.0
10,General Banking,Currency Exchange,Recurring Deposit,2,3.0
8,General Banking,Microfinance & Agricultural Loans,Credit Limit Increase,1,3.0
9,Forex,Cards & Banking Services,Foreign Exchange Rates Inquiry,3,35.6
